ID,Species,Interactions,Connectance,Type of interactions,Type of data,Reference,Locality,Latitude,Longitude
M_PL_060_11,34,43,0.154,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_12,37,60,0.21,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_13,38,48,0.221,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_14,48,99,0.243,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_15,51,131,0.253,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_16,56,114,0.172,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_17,52,100,0.168,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_18,48,75,0.134,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_19,31,41,0.175,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_20,30,37,0.171,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_21,28,32,0.242,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_22,44,64,0.159,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_23,39,57,0.176,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_060_24,38,46,0.137,Pollination,1,Kaiser-Bunbury_etal_2010,"Black River Gorges National Park, Mauritius",-20.452076,57.443254
M_PL_061_01,17,17,0.283,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_02,22,27,0.318,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_03,20,24,0.286,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_04,22,29,0.259,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_05,34,51,0.193,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_06,35,58,0.22,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_07,32,62,0.3,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_08,25,35,0.307,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_09,16,15,0.25,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_10,19,20,0.286,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_11,18,17,0.236,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_12,19,24,0.286,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_13,26,39,0.293,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_14,17,18,0.273,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_15,24,33,0.306,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_16,27,41,0.27,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_17,22,19,0.162,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_18,29,35,0.177,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_19,32,44,0.19,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_20,25,25,0.162,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_21,29,43,0.217,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_22,28,28,0.156,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_23,36,45,0.173,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_24,29,46,0.232,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_25,16,21,0.382,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_26,20,28,0.308,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_27,19,21,0.269,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_28,27,36,0.237,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_29,26,39,0.271,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_30,20,30,0.33,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_31,24,35,0.368,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_32,24,28,0.259,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_33,8,6,0.5,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_34,10,9,0.429,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_35,22,19,0.162,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_36,24,31,0.261,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_37,30,43,0.206,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_38,33,49,0.213,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_39,30,46,0.286,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_40,35,58,0.248,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_41,13,11,0.306,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_42,17,16,0.242,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_43,25,26,0.181,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_44,21,23,0.209,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_45,34,50,0.198,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_46,34,45,0.165,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_47,35,57,0.244,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_061_48,23,32,0.254,Pollination,1,Kaiser-Bunbury_etal_2014,"Morne Seychellois National Park, Mahé",-4.666667,55.43333
M_PL_062_00,1500,15255,0.032,Pollination,0,Robertson_1929,"Carlinville, Illinois, USA",39.278958,-89.8968771
mauritius_v,NA,NA,NA,Pollination,1,Valeria_Trivellone,Mauritius,-20.25,57.43
parachnowit,NA,NA,NA,Pollination,1,Parachnowitsch_Elle_2005,Canada,48.8083333,-123.6311111
Probert_Ana,NA,NA,NA,Pollination,freq,AnnaProbert_PhD,New Zealand,-36.9264,174.4589
Probert_Kar,NA,NA,NA,Pollination,freq,AnnaProbert_PhD,New Zealand,-36.9866,174.4823
Probert_Wha,NA,NA,NA,Pollination,freq,AnnaProbert_PhD,New Zealand,-37.0402,174.5068
Robson_2014,NA,NA,NA,Pollination,1,Robson_2014,Canada,49.7094,-99.0972
Robinson_18,NA,NA,NA,Pollination,1,Robinson_etal_2018,Canadian Arctic,78.875223,-75.804512
Santos_2010,NA,NA,NA,Pollination,1,Santos-etal_2010,Brazil,-12.7,-39.766667
Shay_et2016,NA,NA,NA,Pollination,1,Shay_etal_2016,Hawaii,21.574281,-158.278615
Song_002015,NA,NA,NA,Pollination,1,Song_2015,Mongolia,50.436774,100.385368
Souza_cerra,NA,NA,NA,Pollination,1,Souza etal 2018,Brazil,-18.280556,-52.048056
Souza_chaco,NA,NA,NA,Pollination,1,Souza etal 2018,Brazil,-21.701111,-57.885
Souza_panta,NA,NA,NA,Pollination,1,Souza etal 2018,Brazil,-20.544167,-54.398333
Souza_verad,NA,NA,NA,Pollination,1,Souza etal 2018,Brazil,-19.581178,-57.039667
Traveset_13,NA,NA,NA,Pollination,1,Traveset_2013,Galapagos,-0.6907,-91.012863
Troj_fuert1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Fuerteventura,28.5643,13.8919
Troj_fuert2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Fuerteventura,28.5643,13.8919
Troj_gomer1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Gomera,28.0398,17.2267
Troj_gomer2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Gomera,28.0398,17.2267
Troj_GranC1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Gran Canaria,27.9041,15.4331
Troj_GranC2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Gran Canaria,27.9041,15.4331
Troj_Hierr1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Hierro,27.8047,17.8959
Troj_Hierr2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Hierro,27.8047,17.8959
Troj_TeneS1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Tenerife_South,28.2222,16.4173
Troj_TeneS2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Tenerife_South,28.2222,16.4173
Troj_TeneT1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Tenerife_TENO,28.3531,16.9123
Troj_TeneT2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Tenerife_TENO,28.3531,16.9123
Troj_WestS1,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Western Sahara,26.161,14.4222
Troj_WestS2,NA,NA,NA,Pollination,1,Trojelsgaard_2015,Western Sahara,26.161,14.4222
vannoort_Ai,NA,NA,NA,Pollination,freq,TheovanNoort_MSc,New Zealand,-36.886333,174.51861
vannoort_ma,NA,NA,NA,Pollination,freq,TheovanNoort_MSc,New Zealand,-36.858694,174.47333
VS_llao_lla,NA,NA,NA,Pollination,1,Vazquez_Simberloff_2003,Argentina,-41.011859,-71.498965
VS Mascardi,NA,NA,NA,Pollination,1,Vazquez_Simberloff_2003,Argentina,-41.011859,-71.498965
VS Quetrihu,NA,NA,NA,Pollination,1,Vazquez_Simberloff_2003,Argentina,-41.011859,-71.498965
VS Safarila,NA,NA,NA,Pollination,1,Vazquez_Simberloff_2003,Argentina,-41.011859,-71.498965
carvalheiro,NA,NA,NA,Pollination,1,Carvalheiro_2008,England,51.457104,-2.627856
